,words,nots
8014,Celtae,ablative
8015,etiam,pronoun
8016,atque,pronoun
8017,Germānīs,singular
8018,prohibent,passive
8019,sōlis,dative
8020,sōlis,dative
8021,sōlis,dative
8022,inter,adverb
8023,omnis,plural
8024,dīvidit,plural
8025,eam,dative
8026,ā,conjunction
8027,sē,adjective
8028,omnēs,dative
8029,ipsī,reflexive
8030,Celtae,accusative
8031,sōlis,plural
8032,prōvinciae,ablative
8033,ūnam,demonstrative
8034,incolunt,imperfect
8035,continētur,deponent
8036,ūnam,comparative
8037,longissimē,positive
8038,et,pronoun
8039,est,subjunctive
8040,ā,adjective
8041,quibus,demonstrative
8042,trēs,genitive
8043,montēs,genitive
8044,ūnam,ordinal
8045,Belgārum,singular
8046,quā,accusative
8047,omnium,dative
8048,pars,masculine
8049,ā,conjunction
8050,eam,2nd person
8051,sōlis,plural
8052,prohibent,2nd person
8053,ūnam,masculine
8054,continētur,plural
8055,dīvidit,imperfect
8056,quam,demonstrative
8057,sōlis,plural
8058,minimē,adjective
8059,continenter,comparative
8060,omnium,accusative
8061,continētur,plural
8062,sōlis,feminine
8063,fīnibus,genitive
8064,pertinet,subjunctive
8065,eōrum,2nd person
8066,partem,ablative
8067,quae,noun
8068,Belgae,ablative
8069,Galliae,nominative
8070,occāsum,plural
8071,partēs,dative
8072,initium,plural
8073,occāsum,plural
8074,mercātōrēs,dative
8075,contendunt,singular
8076,et,pronoun
8077,virtūte,plural
8078,virtūte,subjunctive
8079,dīvidit,future
8080,ab,pronoun
8081,reliquōs,singular
8082,oriuntur,perfect
8083,quae,noun
8084,proeliīs,feminine
8085,proeliīs,feminine
8086,proeliīs,feminine
8087,gerunt,passive
8088,gerunt,passive
8089,eōrum,2nd person
8090,Hispāniam,dative
8091,absunt,singular
8092,ūnam,neuter
8093,dīvidit,passive
8094,mercātōrēs,ablative
8095,flūmine,plural
8096,incolunt,pluperfect
8097,minimē,comparative
8098,eam,ablative
8099,pars,masculine
8100,hōrum,feminine
8101,quibus,noun
8102,continētur,deponent
8103,flūmine,plural
8104,est,future
8105,gerunt,future perfect
8106,contendunt,imperative
8107,atque,pronoun
8108,eōrum,2nd person
8109,orientem,neuter
8110,quibus,noun
8111,obtinēre,semi-deponent
8112,fīnibus,nominative
8113,fīnibus,nominative
8114,initium,plural
8115,dē,conjunction
8116,Gallia,ablative
8117,quod,noun
8118,Gallia,masculine
8119,reliquōs,nominative
8120,quae,noun
8121,sōlis,feminine
8122,Belgārum,singular
8123,bellum,dative
8124,contendunt,subjunctive
8125,appellantur,perfect
8126,mercātōrēs,singular
8127,sōlem,plural
8128,trāns,pronoun
8129,spectat,subjunctive
8130,spectat,subjunctive
8131,occāsum,feminine
8132,quī,demonstrative
8133,spectat,subjunctive
8134,Hispāniam,plural
8135,Galliae,plural
8136,bellum,masculine
8137,quī,noun
8138,ipsī,accusative
8139,quam,noun
8140,proximī,ablative
8141,obtinēre,perfect
8142,dīvīsa,active
8143,sōlem,feminine
8144,partēs,dative
8145,Germānīs,nominative
8146,appellantur,1st person
8147,quae,reflexive
8148,quae,reflexive
8149,quae,reflexive
8150,quae,reflexive
8151,appellantur,semi-deponent
8152,flūminis,accusative
8153,est,plural
8154,quam,masculine
8155,sē,relative
8156,quibus,singular
8157,virtūte,masculine
8158,pertinet,deponent
8159,sunt,imperative
8160,partēs,singular
8161,quibus,noun
8162,ā,pronoun
8163,in,adverb
8164,dē,noun
8165,obtinēre,gerund
8166,sē,adverb
8167,spectant,pluperfect
8168,quā,noun
8169,omnium,ablative
8170,cum,preposition w/ acc.
8171,reliquōs,singular
8172,est,future perfect
8173,hī,neuter
8174,hī,relative
8175,capit,subjunctive
8176,Belgīs,genitive
8177,montēs,ablative
8178,montēs,ablative
8179,pars,dative
8180,ad,adverb
8181,dictum est,deponent
8182,dictum est,deponent
8183,ā,adjective
8184,quam,plural
8185,trēs,ordinal
8186,absunt,imperative
8187,reliquōs,ablative
8188,dictum est,deponent
8189,suīs,demonstrative
8190,suīs,demonstrative
8191,flūmine,plural
8192,flūmine,plural
8193,hōrum,singular
8194,Galliae,plural
8195,Celtae,accusative
8196,quārum,noun
8197,ad,pronoun
8198,hī,relative
8199,hī,singular
8200,Belgae,accusative
8201,quārum,singular
8202,sōlis,dative
8203,proximī,feminine
8204,ad,conjunction
8205,Celtae,ablative
8206,ūnam,comparative
8207,cotīdiānīs,accusative
8208,omnēs,dative
8209,sunt,2nd person
8210,oriuntur,singular
8211,oriuntur,singular
8212,Celtae,accusative
8213,Celtae,accusative
8214,incolunt,1st person
8215,spectant,subjunctive
8216,sē,relative
8217,quārum,demonstrative
8218,gerunt,imperative
8219,Hispāniam,dative
8220,fortissimī,feminine
8221,lēgibus,singular
8222,pertinent,singular
8223,Belgārum,singular
8224,Galliae,nominative
8225,quae,reflexive
8226,cotīdiānīs,superlative
8227,dīvidit,deponent
8228,spectat,perfect
8229,pars,neuter
8230,minimē,adjective
8231,sunt,1st person
8232,quod,noun
8233,et,pronoun
8234,occāsum,plural
8235,reliquōs,singular
8236,oriuntur,1st person
8237,omnēs,dative
8238,mercātōrēs,singular
8239,mercātōrēs,singular
8240,quam,noun
8241,quam,noun
8242,quam,noun
8243,quibus,nominative
8244,partēs,genitive
8245,minimē,adjective
8246,proeliīs,accusative
8247,flūmen,ablative
8248,continētur,2nd person
8249,-que,adjective
8250,-que,adjective
8251,ūna,comparative
8252,ūna,comparative
8253,ā,conjunction
8254,virtūte,nominative
8255,eōs,feminine
8256,eōs,feminine
8257,eōs,feminine
8258,quā,noun
8259,quā,plural
8260,quā,plural
8261,virtūte,plural
8262,animōs,nominative
8263,Germānīs,genitive
8264,montēs,neuter
8265,fortissimī,accusative
8266,Belgīs,genitive
8267,minimē,comparative
8268,quī,noun
8269,Germānīs,nominative
8270,sunt,subjunctive
8271,sōlem,genitive
8272,proximī,ablative
8273,pertinet,deponent
8274,capit,imperative
8275,sē,relative
8276,ā,pronoun
8277,quam,noun
8278,quod,ablative
8279,omnēs,genitive
8280,partem,ablative
8281,spectat,imperative
8282,ab,pronoun
8283,pertinet,1st person
8284,virtūte,plural
8285,Belgīs,neuter
8286,flūmine,genitive
8287,dē,conjunction
8288,dē,conjunction
8289,atque,adjective
8290,occāsum,genitive
8291,animōs,singular
8292,fortissimī,accusative
8293,tertiam,dative
8294,Belgīs,neuter
8295,aliam,masculine
8296,pertinent,semi-deponent
8297,bellum,plural
8298,dictum est,subjunctive
8299,ab,adverb
8300,fīnibus,singular
8301,oriuntur,1st person
8302,omnēs,ablative
8303,dictum est,1st person
8304,quī,noun
8305,continētur,deponent
8306,minimē,positive
8307,flūmen,plural
8308,partēs,masculine
8309,quārum,accusative
8310,trēs,singular
8311,trāns,pronoun
8312,ea,masculine
8313,montēs,singular
8314,partēs,singular
8315,tertiam,superlative
8316,oriuntur,semi-deponent
8317,omnis,ablative
8318,dictum est,plural
8319,dictum est,plural
8320,dictum est,plural
8321,eam,ablative
8322,Germānīs,comparative
8323,est,pluperfect
8324,flūminis,plural
8325,mercātōrēs,dative
8326,trēs,neuter
8327,oriuntur,singular
8328,Belgae,neuter
8329,virtūte,accusative
8330,quam,masculine
8331,ūnam,masculine
8332,virtūte,dative
8333,trāns,adverb
8334,trāns,adverb
8335,proximī,comparative
8336,occāsum,nominative
8337,oriuntur,imperfect
8338,sē,adjective
8339,montēs,dative
8340,animōs,dative
8341,omnēs,singular
8342,etiam,pronoun
8343,bellum,dative
8344,quam,reflexive
8345,ipsōrum,nominative
8346,hī,feminine
8347,mercātōrēs,singular
8348,prohibent,semi-deponent
8349,ab,adverb
8350,hōrum,relative
8351,hōrum,relative
8352,hōrum,relative
8353,Germānīs,comparative
8354,prohibent,semi-deponent
8355,ad,preposition w/ abl.
8356,continenter,passive
8357,Belgīs,genitive
8358,quibus,noun
8359,eōrum,interrogative
8360,quā,noun
8361,quam,reflexive
8362,causā,neuter
8363,Belgārum,neuter
8364,in,conjunction
8365,sōlis,plural
8366,longissimē,positive
8367,oriuntur,pluperfect
8368,Germānīs,genitive
8369,dē,noun
8370,suīs,superlative
8371,capit,imperative
8372,hōrum,relative
8373,Hispāniam,ablative
8374,spectat,perfect
8375,flūmine,nominative
8376,cum,pronoun
8377,quārum,noun
8378,Galliae,plural
8379,dictum est,masculine
8380,virtūte,plural
8381,absunt,1st person
8382,ab,preposition w/ acc.
8383,pars,accusative
8384,dīvīsa,ablative
8385,Belgīs,neuter
8386,eōs,dative
8387,sē,adjective
8388,quibus,noun
8389,bellum,ablative
8390,dīvidit,imperative
8391,appellantur,deponent
8392,flūmen,ablative
8393,continētur,future perfect
8394,ūna,comparative
8395,ūna,comparative
8396,Belgārum,ablative
8397,eōs,dative
8398,continenter,semi-deponent
8399,virtūte,dative
8400,Celtae,neuter
8401,continētur,imperative
8402,cotīdiānīs,accusative
8403,quod,plural
8404,orientem,neuter
8405,longissimē,comparative
8406,ūna,masculine
8407,initium,ablative
8408,minimē,adjective
8409,Gallia,plural
8410,Gallia,plural
8411,Hispāniam,plural
8412,quārum,singular
8413,sunt,future perfect
8414,sunt,future perfect
8415,Celtae,neuter
8416,dē,preposition w/ acc.
8417,dīvidit,deponent
8418,eōs,neuter
8419,quam,plural
8420,prōvinciae,masculine
8421,pertinet,imperative
8422,quī,accusative
8423,sē,genitive
8424,eōs,neuter
8425,incolunt,subjunctive
8426,aliam,superlative
8427,ab,noun
8428,initium,plural
8429,pertinet,subjunctive
8430,ūna,demonstrative
8431,pertinet,passive
8432,omnis,dative
8433,eōs,feminine
8434,virtūte,nominative
8435,spectant,deponent
8436,flūmen,genitive
8437,prōvinciae,accusative
8438,cum,adverb
8439,pertinet,imperfect
8440,continētur,1st person
8441,continētur,1st person
8442,Germānīs,superlative
8443,tertiam,masculine
8444,Belgae,ablative
8445,incolunt,semi-deponent
8446,obtinēre,future
8447,eōrum,feminine
8448,obtinēre,indicative
8449,lēgibus,masculine
8450,gerunt,passive
8451,montēs,dative
8452,quā,reflexive
8453,prohibent,semi-deponent
8454,quibus,reflexive
8455,Gallia,plural
8456,absunt,semi-deponent
8457,absunt,semi-deponent
8458,absunt,semi-deponent
8459,ad,conjunction
8460,eōrum,feminine
8461,ipsōrum,singular
8462,contendunt,semi-deponent
8463,quam,demonstrative
8464,sōlem,plural
8465,Galliae,plural
8466,Celtae,ablative
8467,Celtae,ablative
8468,ūnam,neuter
8469,omnēs,comparative
8470,fortissimī,positive
8471,hōrum,interrogative
8472,sōlem,neuter
8473,quibus,noun
8474,inter,preposition w/ abl.
8475,omnium,singular
8476,bellum,masculine
8477,hōrum,ablative
8478,pertinent,future
8479,ea,masculine
8480,ipsōrum,adverb
8481,ipsōrum,adverb
8482,dīvīsa,genitive
8483,hōrum,feminine
8484,prōvinciae,ablative
8485,ūna,neuter
8486,fortissimī,comparative
8487,eōrum,feminine
8488,linguā,masculine
8489,obtinēre,deponent
8490,absunt,subjunctive
8491,montēs,neuter
8492,ūnam,ordinal
8493,prohibent,imperative
8494,partēs,masculine
8495,aliam,ablative
8496,initium,ablative
8497,orientem,nominative
8498,obtinēre,perfect
8499,pertinent,singular
8500,omnium,dative
8501,eōs,singular
8502,continenter,comparative
8503,ipsī,reflexive
8504,ūnam,comparative
8505,virtūte,neuter
8506,omnis,ablative
8507,Belgae,accusative
8508,Belgae,accusative
8509,incolunt,singular
8510,quā,neuter
8511,Celtae,accusative
8512,omnium,singular
8513,ūna,ordinal
8514,initium,ablative
8515,prōvinciae,ablative
8516,proeliīs,genitive
8517,dē,noun
8518,eōs,dative
8519,eōs,dative
8520,orientem,superlative
8521,ab,adjective
8522,quam,dative
8523,mercātōrēs,ablative
8524,et,pronoun
8525,prōvinciae,ablative
8526,cum,pronoun
8527,sunt,1st person
8528,sunt,1st person
8529,ā,adverb
8530,hōrum,singular
8531,flūmine,accusative
8532,fīnibus,genitive
8533,Gallia,plural
8534,dictum est,plural
8535,absunt,1st person
8536,cum,adjective
8537,obtinēre,perfect
8538,partem,nominative
8539,ab,noun
8540,Hispāniam,masculine
8541,aliam,nominative
8542,Belgae,accusative
8543,continētur,deponent
8544,et,pronoun
8545,minimē,adjective
8546,minimē,adjective
8547,sōlem,feminine
8548,initium,ablative
8549,contendunt,passive
8550,quod,demonstrative
8551,ad,preposition w/ abl.
8552,Galliae,plural
8553,quam,plural
8554,proeliīs,singular
8555,absunt,imperative
8556,flūminis,plural
8557,Hispāniam,neuter
8558,montēs,singular
8559,cum,pronoun
8560,trēs,neuter
8561,ūnam,masculine
8562,aliam,comparative
8563,Gallia,accusative
8564,spectant,pluperfect
8565,animōs,feminine
8566,lēgibus,neuter
8567,lēgibus,singular
8568,ipsōrum,relative
8569,dīvīsa,active
8570,causā,plural
8571,reliquōs,feminine
8572,linguā,genitive
8573,trāns,preposition w/ abl.
8574,sōlem,plural
8575,lēgibus,nominative
8576,lēgibus,nominative
8577,dīvidit,passive
8578,trāns,adverb
8579,Celtae,ablative
8580,prohibent,passive
8581,gerunt,semi-deponent
8582,inter,preposition w/ abl.
8583,incolunt,semi-deponent
8584,omnis,superlative
8585,inter,preposition w/ abl.
8586,quod,noun
8587,est,imperfect
8588,flūmen,feminine
8589,ipsī,adverb
8590,omnis,plural
8591,proximī,ablative
8592,reliquōs,superlative
8593,ūna,ordinal
8594,mercātōrēs,singular
8595,flūminis,plural
8596,aliam,demonstrative
8597,eōrum,dative
8598,Celtae,feminine
8599,contendunt,deponent
8600,eam,relative
8601,quā,plural
8602,suīs,singular
8603,et,pronoun
8604,inter,pronoun
8605,proeliīs,accusative
8606,partem,neuter
8607,continētur,semi-deponent
8608,minimē,plural
8609,Germānīs,singular
8610,-que,pronoun
8611,occāsum,feminine
8612,sunt,future
8613,trēs,neuter
8614,continenter,deponent
8615,sōlem,feminine
8616,obtinēre,subjunctive
8617,Belgīs,accusative
8618,ipsōrum,singular
8619,dē,preposition w/ acc.
8620,continētur,imperative
8621,spectant,2nd person
8622,atque,adjective
8623,eōrum,reflexive
8624,lēgibus,accusative
8625,etiam,pronoun
8626,Germānīs,nominative
8627,causā,neuter
8628,est,2nd person
8629,etiam,pronoun
8630,eōs,relative
8631,appellantur,deponent
8632,occāsum,dative
8633,occāsum,dative
8634,tertiam,plural
8635,tertiam,plural
8636,tertiam,plural
8637,flūmen,masculine
8638,quam,reflexive
8639,absunt,subjunctive
8640,cum,preposition w/ acc.
8641,Celtae,neuter
8642,animōs,dative
8643,dictum est,plural
8644,virtūte,neuter
8645,omnēs,genitive
8646,proeliīs,singular
8647,fīnibus,nominative
8648,causā,plural
8649,continenter,passive
8650,initium,feminine
8651,flūmen,genitive
8652,partēs,neuter
8653,dīvīsa,genitive
8654,spectant,passive
8655,tertiam,superlative
8656,hī,neuter
8657,ā,pronoun
8658,sōlem,genitive
8659,quī,noun
8660,cum,preposition w/ acc.
8661,quā,demonstrative
8662,orientem,neuter
8663,prohibent,passive
8664,contendunt,semi-deponent
8665,continenter,comparative
8666,eōs,genitive
8667,eōs,singular
8668,trēs,neuter
8669,suīs,demonstrative
8670,ab,conjunction
8671,ūna,dative
8672,spectant,imperative
8673,proximī,feminine
8674,fortissimī,positive
8675,quibus,accusative
8676,Germānīs,superlative
8677,dīvīsa,future perfect
8678,sōlis,neuter
8679,occāsum,feminine
8680,initium,genitive
8681,in,conjunction
8682,fortissimī,feminine
8683,-que,pronoun
8684,sōlis,nominative
8685,quibus,noun
8686,omnis,dative
8687,omnis,dative
8688,et,pronoun
8689,Belgīs,feminine
8690,dē,preposition w/ acc.
8691,Hispāniam,neuter
8692,sōlem,genitive
8693,sōlem,genitive
8694,virtūte,accusative
8695,flūminis,nominative
8696,etiam,pronoun
8697,ūnam,plural
8698,ūnam,plural
8699,incolunt,imperfect
8700,suīs,accusative
8701,cum,adverb
8702,flūmine,plural
8703,quārum,masculine
8704,fīnibus,neuter
8705,Galliae,ablative
8706,quae,masculine
8707,dictum est,plural
8708,tertiam,genitive
8709,Celtae,neuter
8710,ab,adjective
8711,quam,reflexive
8712,-que,pronoun
8713,dīvīsa,superlative
8714,ipsōrum,feminine
8715,cotīdiānīs,superlative
8716,cotīdiānīs,accusative
8717,quae,genitive
8718,gerunt,1st person
8719,quibus,nominative
8720,ūnam,comparative
8721,aliam,dative
8722,aliam,dative
8723,Belgae,ablative
8724,bellum,plural
8725,quam,dative
8726,partem,plural
8727,trēs,singular
8728,fīnibus,accusative
8729,trēs,dative
8730,atque,pronoun
8731,trēs,ordinal
8732,tertiam,genitive
8733,tertiam,genitive
8734,dictum est,feminine
8735,ad,adverb
8736,orientem,plural
8737,quā,noun
8738,ad,adverb
8739,trēs,dative
8740,in,conjunction
8741,quī,noun
8742,animōs,singular
8743,reliquōs,nominative
8744,animōs,feminine
8745,animōs,feminine
8746,quae,noun
8747,ūnam,demonstrative
8748,inter,pronoun
8749,causā,dative
8750,occāsum,plural
8751,partem,genitive
8752,occāsum,nominative
8753,Galliae,neuter
8754,Gallia,neuter
8755,ad,conjunction
8756,prohibent,imperative
8757,omnēs,ablative
8758,flūminis,plural
8759,partēs,ablative
8760,partēs,ablative
8761,partēs,ablative
8762,proeliīs,accusative
8763,ā,adverb
8764,partem,plural
8765,partem,plural
8766,tertiam,ablative
8767,montēs,singular
8768,pars,dative
8769,aliam,demonstrative
8770,montēs,singular
8771,ipsī,adverb
8772,prohibent,2nd person
8773,quārum,demonstrative
8774,spectat,plural
8775,in,conjunction
8776,dē,noun
8777,tertiam,plural
8778,orientem,future
8779,Gallia,plural
8780,ad,preposition w/ abl.
8781,-que,adjective
8782,quae,genitive
8783,in,conjunction
8784,quod,ablative
8785,causā,plural
8786,obtinēre,3rd person
8787,continenter,superlative
8788,bellum,feminine
8789,Hispāniam,neuter
8790,ipsōrum,feminine
8791,sōlem,ablative
8792,quibus,noun
8793,omnēs,dative
8794,etiam,pronoun
8795,absunt,subjunctive
8796,absunt,subjunctive
8797,eōrum,feminine
8798,contendunt,passive
8799,bellum,plural
8800,atque,pronoun
8801,prohibent,singular
8802,proeliīs,masculine
8803,capit,imperative
8804,capit,imperative
8805,obtinēre,semi-deponent
8806,quam,dative
8807,pertinent,imperative
8808,partēs,masculine
8809,obtinēre,future
8810,eam,1st person
8811,Celtae,ablative
8812,Gallia,masculine
8813,-que,pronoun
8814,-que,adjective
8815,oriuntur,1st person
8816,Gallia,dative
8817,linguā,masculine
8818,trēs,neuter
8819,incolunt,passive
8820,trāns,pronoun
8821,inter,conjunction
8822,quibus,nominative
8823,minimē,adjective
8824,proeliīs,accusative
8825,proeliīs,accusative
8826,causā,nominative
8827,gerunt,future
8828,flūmen,dative
8829,quae,noun
8830,ūna,neuter
8831,ūna,neuter
8832,animōs,singular
8833,animōs,singular
8834,fortissimī,feminine
8835,oriuntur,pluperfect
8836,suīs,comparative
8837,hī,singular
8838,quam,noun
8839,Celtae,accusative
8840,Belgīs,accusative
8841,pertinet,passive
8842,Celtae,accusative
8843,eōrum,singular
8844,eam,dative
8845,partem,masculine
8846,lēgibus,nominative
8847,ad,pronoun
8848,sunt,singular
8849,inter,adverb
8850,causā,dative
8851,ab,adjective
8852,Gallia,plural
8853,initium,ablative
8854,Belgārum,dative
8855,ipsī,adverb
8856,gerunt,2nd person
8857,contendunt,singular
8858,dictum est,active
8859,ab,adjective
8860,absunt,subjunctive
8861,ab,pronoun
8862,spectant,2nd person
8863,Gallia,plural
8864,ab,preposition w/ acc.
8865,contendunt,subjunctive
8866,appellantur,semi-deponent
8867,bellum,dative
8868,est,plural
8869,virtūte,neuter
8870,spectat,imperative
8871,ad,adverb
8872,sōlem,neuter
8873,quā,noun
8874,continētur,plural
8875,lēgibus,singular
8876,-que,pronoun
8877,cotīdiānīs,superlative
8878,hī,singular
8879,quī,neuter
8880,trāns,pronoun
8881,partem,masculine
8882,Gallia,neuter
8883,proximī,feminine
8884,lēgibus,genitive
8885,omnis,plural
8886,quae,masculine
8887,continenter,deponent
8888,-que,pronoun
8889,prōvinciae,masculine
8890,prōvinciae,masculine
8891,gerunt,subjunctive
8892,proximī,dative
8893,et,pronoun
8894,quārum,noun
8895,atque,adjective
8896,dē,conjunction
8897,appellantur,pluperfect
8898,quibus,reflexive
8899,quam,plural
8900,-que,adjective
8901,obtinēre,deponent
8902,gerunt,singular
8903,prohibent,singular
8904,pertinent,singular
8905,ab,adjective
8906,ā,noun
8907,Celtae,accusative
8908,sē,dative
8909,capit,subjunctive
8910,Germānīs,singular
8911,continētur,plural
8912,pertinent,passive
8913,Germānīs,nominative
8914,sōlis,ablative
8915,cum,pronoun
8916,sunt,subjunctive
8917,dictum est,active
8918,omnēs,dative
8919,in,conjunction
8920,mercātōrēs,genitive
8921,pars,masculine
8922,Belgārum,feminine
8923,Gallia,genitive
8924,omnis,superlative
8925,tertiam,neuter
8926,sunt,imperative
8927,orientem,passive
8928,pertinet,deponent
8929,proximī,feminine
8930,eam,dative
8931,proeliīs,accusative
8932,pertinent,deponent
8933,quod,genitive
8934,bellum,masculine
8935,appellantur,imperative
8936,absunt,singular
8937,hī,feminine
8938,minimē,adjective
8939,ūnam,ordinal
8940,initium,ablative
8941,trāns,adverb
8942,Hispāniam,plural
8943,cum,adverb
8944,ūna,comparative
8945,minimē,comparative
8946,flūmen,plural
8947,trāns,adverb
8948,lēgibus,neuter
8949,suīs,demonstrative
8950,partem,masculine
8951,ūna,masculine
8952,cum,adverb
8953,eam,nominative
8954,dīvidit,1st person
8955,orientem,semi-deponent
8956,fortissimī,dative
8957,prōvinciae,accusative
8958,inter,preposition w/ abl.
8959,inter,pronoun
8960,pertinet,semi-deponent
8961,sunt,subjunctive
8962,contendunt,pluperfect
8963,cotīdiānīs,superlative
8964,pertinent,singular
8965,dīvidit,2nd person
8966,gerunt,passive
8967,initium,plural
8968,quārum,neuter
8969,gerunt,imperative
8970,gerunt,imperative
8971,gerunt,imperative
8972,omnēs,superlative
8973,Belgae,ablative
8974,dē,adjective
8975,dē,adjective
8976,proximī,feminine
8977,Belgae,ablative
8978,eōs,2nd person
8979,dictum est,plural
8980,trēs,genitive
8981,eōs,singular
8982,dictum est,active
8983,bellum,plural
8984,ea,possessive
8985,Germānīs,nominative
8986,Germānīs,nominative
8987,flūmine,feminine
8988,ā,pronoun
8989,ad,adverb
8990,Belgīs,neuter
8991,cum,preposition w/ acc.
8992,reliquōs,singular
8993,appellantur,deponent
8994,quam,noun
8995,ā,conjunction
8996,omnēs,neuter
8997,quī,demonstrative
8998,etiam,pronoun
8999,aliam,masculine
9000,reliquōs,neuter
9001,quod,genitive
9002,pertinent,deponent
9003,ad,pronoun
9004,obtinēre,gerund
9005,eam,plural
9006,atque,pronoun
9007,bellum,ablative
9008,sē,nominative
9009,ūnam,ordinal
9010,sē,nominative
9011,continētur,1st person
9012,dē,pronoun
9013,lēgibus,genitive
9014,eōs,genitive
9015,aliam,neuter
9016,sē,nominative
9017,cotīdiānīs,accusative
9018,flūmine,accusative
9019,Gallia,plural
9020,reliquōs,superlative
9021,quod,noun
9022,suīs,accusative
9023,suīs,accusative
9024,Belgae,accusative
9025,Belgae,accusative
9026,Gallia,plural
9027,ipsōrum,singular
9028,Celtae,accusative
9029,Celtae,accusative
9030,flūmine,masculine
9031,flūmine,masculine
9032,flūmine,masculine
9033,flūmine,masculine
9034,quae,dative
9035,proximī,feminine
9036,quā,noun
9037,animōs,neuter
9038,hōrum,feminine
9039,spectant,subjunctive
9040,Germānīs,accusative
9041,dē,pronoun
9042,inter,conjunction
9043,atque,adjective
9044,tertiam,superlative
9045,dē,adjective
9046,pertinent,2nd person
9047,partem,plural
9048,Belgae,accusative
9049,incolunt,singular
9050,animōs,feminine
9051,partem,plural
9052,montēs,ablative
9053,pars,ablative
9054,pertinet,pluperfect
9055,trēs,neuter
9056,tertiam,masculine
9057,quae,genitive
9058,flūmen,feminine
9059,minimē,positive
9060,minimē,positive
9061,minimē,positive
9062,pertinet,passive
9063,ad,conjunction
9064,eam,2nd person
9065,continenter,future
9066,oriuntur,1st person
9067,fīnibus,singular
9068,omnium,singular
9069,sē,nominative
9070,sē,nominative
9071,sē,nominative
9072,quae,dative
9073,trāns,preposition w/ abl.
9074,trāns,preposition w/ abl.
9075,trāns,preposition w/ abl.
9076,Belgīs,accusative
9077,Hispāniam,genitive
9078,capit,subjunctive
9079,prōvinciae,ablative
9080,hōrum,accusative
9081,causā,masculine
9082,partēs,neuter
9083,incolunt,subjunctive
9084,quibus,noun
9085,flūmine,masculine
9086,in,conjunction
9087,ea,reflexive
9088,dē,adverb
9089,appellantur,2nd person
9090,gerunt,1st person
9091,Galliae,plural
9092,pertinet,imperfect
9093,lēgibus,genitive
9094,Belgae,accusative
9095,-que,adjective
9096,inter,preposition w/ abl.
9097,dīvidit,2nd person
9098,partēs,ablative
9099,pertinent,1st person
9100,Belgārum,dative
9101,partem,genitive
9102,proeliīs,singular
9103,partem,plural
9104,partem,plural
9105,fortissimī,ablative
9106,eōs,possessive
9107,flūminis,ablative
9108,orientem,semi-deponent
9109,orientem,semi-deponent
9110,appellantur,imperative
9111,omnium,accusative
9112,obtinēre,gerund
9113,quārum,neuter
9114,mercātōrēs,singular
9115,animōs,feminine
9116,oriuntur,pluperfect
9117,Celtae,ablative
9118,prohibent,1st person
9119,fīnibus,masculine
9120,ea,1st person
9121,occāsum,feminine
9122,pertinent,semi-deponent
9123,ad,adverb
9124,spectat,semi-deponent
9125,etiam,pronoun
9126,ipsōrum,adverb
9127,etiam,pronoun
9128,ipsōrum,noun
9129,Galliae,nominative
9130,contendunt,1st person
9131,obtinēre,participle
9132,est,plural
9133,Galliae,plural
9134,fortissimī,feminine
9135,lēgibus,genitive
9136,dē,noun
9137,spectat,future
9138,eam,plural
9139,hī,reflexive
9140,est,2nd person
9141,animōs,dative
9142,eōs,2nd person
9143,lēgibus,neuter
9144,oriuntur,imperative
9145,cotīdiānīs,superlative
9146,fortissimī,feminine
9147,quā,noun
9148,gerunt,singular
9149,dē,adjective
9150,dē,adjective
9151,dē,adjective
9152,pertinent,2nd person
9153,spectat,perfect
9154,oriuntur,semi-deponent
9155,continenter,comparative
9156,est,plural
9157,quibus,noun
9158,eōrum,1st person
9159,lēgibus,genitive
9160,omnis,ablative
9161,quae,reflexive
9162,absunt,deponent
9163,oriuntur,singular
9164,absunt,subjunctive
9165,absunt,subjunctive
9166,pertinent,deponent
9167,suīs,demonstrative
9168,minimē,comparative
9169,sē,genitive
9170,capit,deponent
9171,montēs,neuter
9172,dīvīsa,masculine
9173,ipsī,adverb
9174,Gallia,masculine
9175,flūmen,ablative
9176,quā,demonstrative
9177,etiam,pronoun
9178,pertinet,imperative
9179,eam,plural
9180,ad,conjunction
9181,sunt,imperative
9182,Hispāniam,neuter
9183,Belgae,accusative
9184,lēgibus,singular
9185,cum,adjective
9186,dīvīsa,deponent
9187,spectat,imperfect
9188,spectat,imperfect
9189,appellantur,1st person
9190,ā,noun
9191,animōs,feminine
9192,sōlis,plural
9193,ūnam,ablative
9194,ea,masculine
9195,minimē,positive
9196,flūmine,accusative
9197,ipsōrum,singular
9198,pertinent,passive
9199,causā,neuter
9200,Galliae,ablative
9201,prōvinciae,ablative
9202,prōvinciae,ablative
9203,sē,genitive
9204,lēgibus,singular
9205,ab,conjunction
9206,quā,demonstrative
9207,proximī,accusative
9208,orientem,plural
9209,absunt,subjunctive
9210,sunt,subjunctive
9211,partem,dative
9212,hī,dative
9213,gerunt,subjunctive
9214,virtūte,neuter
9215,flūmen,genitive
9216,continenter,comparative
9217,pertinet,imperative
9218,pertinet,plural
9219,pertinent,imperative
9220,pertinent,imperative
9221,pertinent,imperative
9222,pertinent,imperative
9223,pertinent,imperative
9224,omnis,superlative
9225,trāns,pronoun
9226,ipsī,accusative
9227,ea,masculine
9228,ūna,ordinal
